"All unassigned sales channels will be assigned to the Default Stock","All unassigned sales channels will be assigned to the Default Stock",module,Magento_InventorySalesAdminUi
"%1 doesn't implement GetSourceDeductedOrderItemsInterface","%1 doesn't implement GetSourceDeductedOrderItemsInterface",module,Magento_InventorySalesApi
"Can't check requested quantity for products without Source Items support.","Can't check requested quantity for products without Source Items support.",module,Magento_InventorySales
"No linked stock found","No linked stock found",module,Magento_InventorySales
"We don't have as many quantity as you requested, but we'll back order the remaining %1.","We don't have as many quantity as you requested, but we'll back order the remaining %1.",module,Magento_InventorySales
"Parameter ""object"" must be present.","Parameter ""object"" must be present.",module,Magento_InventorySales
"Parameter ""sort_order"" must be present for unrequired conditions.","Parameter ""sort_order"" must be present for unrequired conditions.",module,Magento_InventorySales
"Condition have to implement IsProductSalableInterface.","Condition have to implement IsProductSalableInterface.",module,Magento_InventorySales
"Backorders are disabled","Backorders are disabled",module,Magento_InventorySales
"The fewest you may purchase is %1","The fewest you may purchase is %1",module,Magento_InventorySales
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart",module,Magento_InventorySales
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time.",module,Magento_InventorySales
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product.",module,Magento_InventorySales
"Parameter ""sort_order"" must be present for urequired conditions.","Parameter ""sort_order"" must be present for urequired conditions.",module,Magento_InventorySales
"Condition have to implement IsProductSalableForRequestedQtyInterface.","Condition have to implement IsProductSalableForRequestedQtyInterface.",module,Magento_InventorySales
"The requested sku is not assigned to given stock.","The requested sku is not assigned to given stock.",module,Magento_InventorySales
"The requested sku is not assigned to given stock","The requested sku is not assigned to given stock",module,Magento_InventorySales
"The requested qty is not available","The requested qty is not available",module,Magento_InventorySales
"Manage stock is enabled","Manage stock is enabled",module,Magento_InventorySales
"Condition must implement %1","Condition must implement %1",module,Magento_InventorySales
"""%field"" can not be empty.","""%field"" can not be empty.",module,Magento_InventorySales
"The website with code ""%code"" does not exist.","The website with code ""%code"" does not exist.",module,Magento_InventorySales
"$scopeId is required","$scopeId is required",module,Magento_InventorySales
"$websiteId parameter is required","$websiteId parameter is required",module,Magento_InventorySales
"Could not load Sales Channels for Stock","Could not load Sales Channels for Stock",module,Magento_InventorySales
"Stock has at least one sale channel and could not be deleted.","Stock has at least one sale channel and could not be deleted.",module,Magento_InventorySales
"Could not replace Sales Channels for Stock","Could not replace Sales Channels for Stock",module,Magento_InventorySales
"Wrong condition.","Wrong condition.",module,Magento_InventorySales
