"Quantity Per Source","Quantity Per Source",module,Magento_InventoryConfigurableProductAdminUi
"Step 3: Bulk Images, Price and Quantity","Step 3: Bulk Images, Price and Quantity",module,Magento_InventoryConfigurableProductAdminUi
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.",module,Magento_InventoryConfigurableProductAdminUi
Images,Images,module,Magento_InventoryConfigurableProductAdminUi
"Apply single set of images to all SKUs","Apply single set of images to all SKUs",module,Magento_InventoryConfigurableProductAdminUi
"Apply unique images by attribute to each SKU","Apply unique images by attribute to each SKU",module,Magento_InventoryConfigurableProductAdminUi
"Skip image uploading at this time","Skip image uploading at this time",module,Magento_InventoryConfigurableProductAdminUi
"Browse Files...","Browse Files...",module,Magento_InventoryConfigurableProductAdminUi
"Browse to find or drag image here","Browse to find or drag image here",module,Magento_InventoryConfigurableProductAdminUi
"Remove image","Remove image",module,Magento_InventoryConfigurableProductAdminUi
Hidden,Hidden,module,Magento_InventoryConfigurableProductAdminUi
"Alt Text","Alt Text",module,Magento_InventoryConfigurableProductAdminUi
Role,Role,module,Magento_InventoryConfigurableProductAdminUi
"Image Size","Image Size",module,Magento_InventoryConfigurableProductAdminUi
{size},{size},module,Magento_InventoryConfigurableProductAdminUi
"Image Resolution","Image Resolution",module,Magento_InventoryConfigurableProductAdminUi
"{width}^{height} px","{width}^{height} px",module,Magento_InventoryConfigurableProductAdminUi
"Hide from Product Page","Hide from Product Page",module,Magento_InventoryConfigurableProductAdminUi
"Select attribute","Select attribute",module,Magento_InventoryConfigurableProductAdminUi
Select,Select,module,Magento_InventoryConfigurableProductAdminUi
Price,Price,module,Magento_InventoryConfigurableProductAdminUi
"Apply single price to all SKUs","Apply single price to all SKUs",module,Magento_InventoryConfigurableProductAdminUi
"Apply unique prices by attribute to each SKU","Apply unique prices by attribute to each SKU",module,Magento_InventoryConfigurableProductAdminUi
"Skip price at this time","Skip price at this time",module,Magento_InventoryConfigurableProductAdminUi
"Quantity per source","Quantity per source",module,Magento_InventoryConfigurableProductAdminUi
"Apply single quantity to each SKUs","Apply single quantity to each SKUs",module,Magento_InventoryConfigurableProductAdminUi
"Apply unique quantity by attribute to each SKU","Apply unique quantity by attribute to each SKU",module,Magento_InventoryConfigurableProductAdminUi
"Skip quantity at this time","Skip quantity at this time",module,Magento_InventoryConfigurableProductAdminUi
"Step 4: Summary","Step 4: Summary",module,Magento_InventoryConfigurableProductAdminUi
"New Product Review","New Product Review",module,Magento_InventoryConfigurableProductAdminUi
"Here are the products you're about to create.","Here are the products you're about to create.",module,Magento_InventoryConfigurableProductAdminUi
"Associated Products","Associated Products",module,Magento_InventoryConfigurableProductAdminUi
"You created these products for this configuration.","You created these products for this configuration.",module,Magento_InventoryConfigurableProductAdminUi
"Disassociated Products","Disassociated Products",module,Magento_InventoryConfigurableProductAdminUi
"These products are not associated.","These products are not associated.",module,Magento_InventoryConfigurableProductAdminUi
Enabled,Enabled,module,Magento_InventoryConfigurableProductAdminUi
Disabled,Disabled,module,Magento_InventoryConfigurableProductAdminUi
Quantity,Quantity,module,Magento_InventoryConfigurableProductAdminUi
"Show more...","Show more...",module,Magento_InventoryConfigurableProductAdminUi
"Please fill-in correct values.","Please fill-in correct values.",module,Magento_InventoryConfigurableProductAdminUi
SKU,SKU,module,Magento_InventoryConfigurableProductAdminUi
