"Could not create products collection.","Could not create products collection.",module,Magento_InventoryCatalogAdminUi
"Selected products are not assigned to any source.","Selected products are not assigned to any source.",module,Magento_InventoryCatalogAdminUi
"Bulk Inventory Transfer","Bulk Inventory Transfer",module,Magento_InventoryCatalogAdminUi
"Bulk operation was successful: %count inventory transfers.","Bulk operation was successful: %count inventory transfers.",module,Magento_InventoryCatalogAdminUi
"Your request was successfully queued for asynchronous execution","Your request was successfully queued for asynchronous execution",module,Magento_InventoryCatalogAdminUi
"Something went wrong during the operation.","Something went wrong during the operation.",module,Magento_InventoryCatalogAdminUi
"Bulk source assignment","Bulk source assignment",module,Magento_InventoryCatalogAdminUi
"Bulk operation was successful: %count assignments.","Bulk operation was successful: %count assignments.",module,Magento_InventoryCatalogAdminUi
"Bulk source unassignment","Bulk source unassignment",module,Magento_InventoryCatalogAdminUi
"Bulk operation was successful: %count unassignments.","Bulk operation was successful: %count unassignments.",module,Magento_InventoryCatalogAdminUi
"In Stock","In Stock",module,Magento_InventoryCatalogAdminUi
"Out of Stock","Out of Stock",module,Magento_InventoryCatalogAdminUi
"Wrong Product to Source relation parameters given.","Wrong Product to Source relation parameters given.",module,Magento_InventoryCatalogAdminUi
"<strong>NOTE</strong>: Assign sources is disabled for default stock","<strong>NOTE</strong>: Assign sources is disabled for default stock",module,Magento_InventoryCatalogAdminUi
"Disabled for default stock","Disabled for default stock",module,Magento_InventoryCatalogAdminUi
"Quantity per Source","Quantity per Source",module,Magento_InventoryCatalogAdminUi
"Products will be added to new sources with 0 quantity.","Products will be added to new sources with 0 quantity.",module,Magento_InventoryCatalogAdminUi
Back,Back,module,Magento_InventoryCatalogAdminUi
"Bulk operation","Bulk operation",module,Magento_InventoryCatalogAdminUi
"You selected <strong>%count</strong> products for this bulk operation.","You selected <strong>%count</strong> products for this bulk operation.",module,Magento_InventoryCatalogAdminUi
"Transfer source","Transfer source",module,Magento_InventoryCatalogAdminUi
"Transfer from source","Transfer from source",module,Magento_InventoryCatalogAdminUi
"to source","to source",module,Magento_InventoryCatalogAdminUi
"Unassign from origin source after transfer.","Unassign from origin source after transfer.",module,Magento_InventoryCatalogAdminUi
"Select one or more sources","Select one or more sources",module,Magento_InventoryCatalogAdminUi
WARNING:,WARNING:,module,Magento_InventoryCatalogAdminUi
"Products quantity will be permanently removed from selected sources.","Products quantity will be permanently removed from selected sources.",module,Magento_InventoryCatalogAdminUi
"Quantity per Source:","Quantity per Source:",module,Magento_InventoryCatalogAdminUi
"Admin bulk operations","Admin bulk operations",module,Magento_InventoryCatalogAdminUi
"Run asynchronously","Run asynchronously",module,Magento_InventoryCatalogAdminUi
"Asynchronous batch size","Asynchronous batch size",module,Magento_InventoryCatalogAdminUi
"The Default Source must be enabled. A default source is required for single source merchants and product migration.","The Default Source must be enabled. A default source is required for single source merchants and product migration.",module,Magento_InventoryCatalogAdminUi
Sources,Sources,module,Magento_InventoryCatalogAdminUi
"Advanced Inventory","Advanced Inventory",module,Magento_InventoryCatalogAdminUi
"Assign Sources","Assign Sources",module,Magento_InventoryCatalogAdminUi
Name,Name,module,Magento_InventoryCatalogAdminUi
"Source Status","Source Status",module,Magento_InventoryCatalogAdminUi
"Source Item Status","Source Item Status",module,Magento_InventoryCatalogAdminUi
Qty,Qty,module,Magento_InventoryCatalogAdminUi
Actions,Actions,module,Magento_InventoryCatalogAdminUi
Done,Done,module,Magento_InventoryCatalogAdminUi
"Mass source assignment","Mass source assignment",module,Magento_InventoryCatalogAdminUi
"Are you sure you want to assign selected items to inventory sources?","Are you sure you want to assign selected items to inventory sources?",module,Magento_InventoryCatalogAdminUi
"Assign Inventory Source","Assign Inventory Source",module,Magento_InventoryCatalogAdminUi
"Unassign Inventory Source","Unassign Inventory Source",module,Magento_InventoryCatalogAdminUi
"Are you sure you want to unassign one or more sources from the selected items?","Are you sure you want to unassign one or more sources from the selected items?",module,Magento_InventoryCatalogAdminUi
"Transfer Inventory To Source","Transfer Inventory To Source",module,Magento_InventoryCatalogAdminUi
"Are you sure you want to transfer the inventory of the selected items?","Are you sure you want to transfer the inventory of the selected items?",module,Magento_InventoryCatalogAdminUi
