"Invalid store requested.","Invalid store requested.",module,Magento_Store
"Current store is not active.","Current store is not active.",module,Magento_Store
"Requested store is not found","Requested store is not found",module,Magento_Store
"Requested store is inactive","Requested store is inactive",module,Magento_Store
"The store that was requested wasn't found. Verify the store and try again.","The store that was requested wasn't found. Verify the store and try again.",module,Magento_Store
"The requested customer does not exist.","The requested customer does not exist.",module,Magento_Store
"There was an error retrieving the customer record.","There was an error retrieving the customer record.",module,Magento_Store
"The requested store cannot be found. Please check the request and try again.","The requested store cannot be found. Please check the request and try again.",module,Magento_Store
"Environment emulation nesting is not allowed.","Environment emulation nesting is not allowed.",module,Magento_Store
%1,%1,module,Magento_Store
"The website wasn't found. Verify the website and try again.","The website wasn't found. Verify the website and try again.",module,Magento_Store
"The group wasn't found. Verify the group and try again.","The group wasn't found. Verify the group and try again.",module,Magento_Store
"The store wasn't found. Verify the store and try again.","The store wasn't found. Verify the store and try again.",module,Magento_Store
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again.",module,Magento_Store
"%1 should implement %2","%1 should implement %2",module,Magento_Store
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.",module,Magento_Store
"The scope object is invalid. Verify the scope object and try again.","The scope object is invalid. Verify the scope object and try again.",module,Magento_Store
"Group with the same code","Group with the same code",module,Magento_Store
"Store with the same code","Store with the same code",module,Magento_Store
"Website with the same code","Website with the same code",module,Magento_Store
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.",module,Magento_Store
"Name is required","Name is required",module,Magento_Store
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.",module,Magento_Store
"Store is inactive","Store is inactive",module,Magento_Store
"Invalid store parameter.","Invalid store parameter.",module,Magento_Store
"Default store is inactive","Default store is inactive",module,Magento_Store
"The store cannot be switched.","The store cannot be switched.",module,Magento_Store
"All Store Views","All Store Views",module,Magento_Store
"-- Please Select --","-- Please Select --",module,Magento_Store
Admin,Admin,module,Magento_Store
"The default website isn't defined. Set the website and try again.","The default website isn't defined. Set the website and try again.",module,Magento_Store
"The default website is invalid. Make sure no more than one default is defined and try again.","The default website is invalid. Make sure no more than one default is defined and try again.",module,Magento_Store
"no such entity exception","no such entity exception",module,Magento_Store
"Your Language:","Your Language:",module,Magento_Store
"Your Language","Your Language",module,Magento_Store
Language,Language,module,Magento_Store
"Select Store","Select Store",module,Magento_Store
